excess.base_hop1_excess_tail,excess.base_hop2_excess_tail,excess.fresh_hop1_excess_tail,excess.fresh_hop2_excess_tail,excess.hop1_excess_tail,excess.hop2_excess_tail,final.base_floor_hop1_acc,final.base_floor_hop2_acc,final.base_hop1_acc,final.base_hop1_loss,final.base_hop2_acc,final.base_hop2_loss,final.base_keyslot_mean,final.base_keyslot_top1,final.base_keyslot_top_head,final.base_keyslot_top_layer,final.floor_hop1_acc,final.floor_hop2_acc,final.fresh_floor_hop1_acc,final.fresh_floor_hop2_acc,final.fresh_hop1_acc,final.fresh_hop1_loss,final.fresh_hop2_acc,final.fresh_hop2_loss,final.fresh_keyslot_mean,final.fresh_keyslot_top1,final.fresh_keyslot_top_head,final.fresh_keyslot_top_layer,final.hop1_acc,final.hop1_loss,final.hop2_acc,final.hop2_loss,final.keyslot_mean,final.keyslot_top1,final.keyslot_top_head,final.keyslot_top_layer,final.lr,final.p_dynamic,final.p_multi,final.train_acc,final.train_loss,final_step,intro.base_floor_hop1_acc,intro.base_floor_hop2_acc,intro.base_hop1_acc,intro.base_hop1_loss,intro.base_hop2_acc,intro.base_hop2_loss,intro.base_keyslot_mean,intro.base_keyslot_top1,intro.base_keyslot_top_head,intro.base_keyslot_top_layer,intro.floor_hop1_acc,intro.floor_hop2_acc,intro.fresh_floor_hop1_acc,intro.fresh_floor_hop2_acc,intro.fresh_hop1_acc,intro.fresh_hop1_loss,intro.fresh_hop2_acc,intro.fresh_hop2_loss,intro.fresh_keyslot_mean,intro.fresh_keyslot_top1,intro.fresh_keyslot_top_head,intro.fresh_keyslot_top_layer,intro.hop1_acc,intro.hop1_loss,intro.hop2_acc,intro.hop2_loss,intro.keyslot_mean,intro.keyslot_top1,intro.keyslot_top_head,intro.keyslot_top_layer,intro.lr,intro.p_dynamic,intro.p_multi,intro.step,intro.train_acc,intro.train_loss,meta.condition,meta.extension_label,meta.final_lr,meta.final_step,meta.intro_eval_step,meta.intro_step,meta.lr_at_intro_eval,meta.lr_at_intro_formula,meta.lr_at_t_schedule_eval,meta.lr_at_t_schedule_formula,meta.lr_final_eval,meta.lr_tail_mean,meta.max_steps,meta.peak_lr,meta.post_intro_steps,meta.rewarm_lr,meta.rewarm_step,meta.schedule_kind,meta.seed,meta.steps_after_t_schedule,meta.t_schedule,meta.t_schedule_eval_step,n_eval_rows,run_dir,tail.base_floor_hop1_acc,tail.base_floor_hop2_acc,tail.base_hop1_acc,tail.base_hop2_acc,tail.floor_hop1_acc,tail.floor_hop2_acc,tail.fresh_floor_hop1_acc,tail.fresh_floor_hop2_acc,tail.fresh_hop1_acc,tail.fresh_hop2_acc,tail.hop1_acc,tail.hop2_acc,tail.lr,tail.train_acc,trans.t_base_floor_hop1_acc_ge_0.95,trans.t_base_floor_hop1_acc_ge_0.99,trans.t_base_floor_hop2_acc_ge_0.50,trans.t_base_floor_hop2_acc_ge_0.8,trans.t_base_floor_hop2_acc_ge_0.95,trans.t_base_floor_hop2_acc_ge_0.99,trans.t_base_hop1_acc_ge_0.95,trans.t_base_hop1_acc_ge_0.99,trans.t_base_hop2_acc_ge_0.50,trans.t_base_hop2_acc_ge_0.8,trans.t_base_hop2_acc_ge_0.95,trans.t_base_hop2_acc_ge_0.99,trans.t_base_keyslot_top1_ge_half_max,trans.t_floor_hop1_acc_ge_0.95,trans.t_floor_hop1_acc_ge_0.99,trans.t_floor_hop2_acc_ge_0.50,trans.t_floor_hop2_acc_ge_0.8,trans.t_floor_hop2_acc_ge_0.95,trans.t_floor_hop2_acc_ge_0.99,trans.t_fresh_floor_hop1_acc_ge_0.95,trans.t_fresh_floor_hop1_acc_ge_0.99,trans.t_fresh_floor_hop2_acc_ge_0.50,trans.t_fresh_floor_hop2_acc_ge_0.8,trans.t_fresh_floor_hop2_acc_ge_0.95,trans.t_fresh_floor_hop2_acc_ge_0.99,trans.t_fresh_hop1_acc_ge_0.95,trans.t_fresh_hop1_acc_ge_0.99,trans.t_fresh_hop2_acc_ge_0.50,trans.t_fresh_hop2_acc_ge_0.8,trans.t_fresh_hop2_acc_ge_0.95,trans.t_fresh_hop2_acc_ge_0.99,trans.t_fresh_keyslot_top1_ge_half_max,trans.t_hop1_acc_ge_0.95,trans.t_hop1_acc_ge_0.99,trans.t_hop2_acc_ge_0.50,trans.t_hop2_acc_ge_0.8,trans.t_hop2_acc_ge_0.95,trans.t_hop2_acc_ge_0.99,trans.t_keyslot_top1_ge_half_max,tsched.base_floor_hop1_acc,tsched.base_floor_hop2_acc,tsched.base_hop1_acc,tsched.base_hop1_loss,tsched.base_hop2_acc,tsched.base_hop2_loss,tsched.base_keyslot_mean,tsched.base_keyslot_top1,tsched.base_keyslot_top_head,tsched.base_keyslot_top_layer,tsched.floor_hop1_acc,tsched.floor_hop2_acc,tsched.fresh_floor_hop1_acc,tsched.fresh_floor_hop2_acc,tsched.fresh_hop1_acc,tsched.fresh_hop1_loss,tsched.fresh_hop2_acc,tsched.fresh_hop2_loss,tsched.fresh_keyslot_mean,tsched.fresh_keyslot_top1,tsched.fresh_keyslot_top_head,tsched.fresh_keyslot_top_layer,tsched.hop1_acc,tsched.hop1_loss,tsched.hop2_acc,tsched.hop2_loss,tsched.keyslot_mean,tsched.keyslot_top1,tsched.keyslot_top_head,tsched.keyslot_top_layer,tsched.lr,tsched.p_dynamic,tsched.p_multi,tsched.step,tsched.train_acc,tsched.train_loss
0.8277070643538136,0.0,0.8604674258474576,0.0,0.8608150158898304,0.0,0.1240234375,0.1240234375,0.9599609375,0.11229975800961256,0.0,29.001370191574097,0.013302057981491089,0.049565404653549194,3.0,2.0,0.15185546875,0.14453125,0.150390625,0.14404296875,1.0,3.253807867587e-08,0.0,20.470785975456238,0.008241012692451477,0.04788762331008911,3.0,2.0,1.0,3.111199120553465e-08,0.0,20.47459077835083,0.008260028436779976,0.048069268465042114,3.0,2.0,5.707931487087708e-06,1.0,0.0,1.0,2.9802318834981634e-08,29499,0.126953125,0.15673828125,1.0,2.6586304713305253e-07,0.0,21.095332145690918,0.018133029341697693,0.04506691172719002,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.958056956529617,0.0,5.970677882432938,0.016557995229959488,0.048807740211486816,2.0,2.0,0.0,5.957973927259445,0.0,5.970757901668549,0.016550514847040176,0.04874138906598091,2.0,2.0,0.0004628064124873411,1.0,0.0,16000,0.0,12.329279899597168,fresh_singlehop_late_seed3,cosine_pre_horizon,5e-06,29499,16000,16000,0.0004628064124873411,0.0004628064124873411,5.707931487087708e-06,5e-06,5.707931487087708e-06,1.7687683232546238e-05,29500,0.001,13500,,,warmup_cosine,3,0,30000,29499,591,runs/behavioral_replication_v0_9/s3/fresh_hop1_s1/fresh_singlehop_late_seed3,0.13109110169491525,0.1303131620762712,0.9587981660487288,0.0,0.1391849841101695,0.13890360169491525,0.13953257415254236,0.1400787870762712,1.0,0.0,1.0,0.0,1.7687683232546238e-05,1.0,,,,,,,1050,1050,,,,,250,,,,,,,,,,,,,16250,16250,,,,,300,1050,1050,,,,,250,0.1240234375,0.1240234375,0.9599609375,0.11229975800961256,0.0,29.001370191574097,0.013302057981491089,0.049565404653549194,3.0,2.0,0.15185546875,0.14453125,0.150390625,0.14404296875,1.0,3.253807867587e-08,0.0,20.470785975456238,0.008241012692451477,0.04788762331008911,3.0,2.0,1.0,3.111199120553465e-08,0.0,20.47459077835083,0.008260028436779976,0.048069268465042114,3.0,2.0,5.707931487087708e-06,1.0,0.0,29499,1.0,2.9802318834981634e-08
,,,,0.86224365234375,0.8627149793836806,,,,,,,,,,,0.142578125,0.1376953125,,,,,,,,,,,1.0,0.0003092288240509333,0.998779296875,0.015464635258467752,0.016948573291301727,0.06695835292339325,1.0,3.0,0.001,1.0,0.5,1.0,6.4035841205623e-05,35999,,,,,,,,,,,0.1474609375,0.1357421875,,,,,,,,,,,1.0,8.086493383174798e-05,0.0,28.521823406219482,0.027788899838924408,0.04748789593577385,0.0,2.0,0.001,1.0,0.5,16000,0.5234375,14.014046669006348,late_gate_post_seed3,cosine_history_then_high_lr_rewarm,5e-06,35999,16000,16000,0.001,0.001,0.001,0.001,0.001,0.0010000000000000007,36000,0.001,20000,0.001,16000,warmup_cosine_then_rewarm_constant,3,6000,30000,30000,721,runs/behavioral_replication_v0_9/s3/rewarm_late/late_gate_post_seed3,,,,,0.13746473524305555,0.1361762152777778,,,,,0.9997083875868056,0.9988911946614584,0.0010000000000000007,0.99951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2150,28350,28400,28450,28650,300,,,,,,,,,,,0.1337890625,0.1416015625,,,,,,,,,,,0.998046875,0.010924050999165047,0.99169921875,0.07651739874563646,0.01562083326280117,0.09951626509428024,1.0,3.0,0.001,1.0,0.5,30000,0.9921875,0.10004578530788422
,,,,0.862881130642361,0.863006591796875,,,,,,,,,,,0.13916015625,0.12939453125,,,,,,,,,,,1.0,7.065487864110764e-05,0.998291015625,0.013779507122308132,0.011508672498166561,0.06607158482074738,1.0,3.0,0.001,1.0,0.5,1.0,6.288306030910462e-05,35999,,,,,,,,,,,0.146484375,0.13525390625,,,,,,,,,,,0.99951171875,0.0017633552366760341,0.0,27.025851726531982,0.02759302593767643,0.048017941415309906,0.0,2.0,0.001,1.0,0.5,16000,0.5234375,14.014046669006348,late_gate_post_seed3,cosine_history_then_high_lr_rewarm,5e-06,35999,16000,16000,0.001,0.001,0.001,0.001,0.001,0.0010000000000000007,36000,0.001,20000,0.001,16000,warmup_cosine_then_rewarm_constant_reset_optim,3,6000,30000,30000,721,runs/behavioral_replication_v0_9/s3/rewarm_reset_late/late_gate_post_seed3,,,,,0.13680013020833334,0.13591172960069445,,,,,0.9996812608506944,0.9989183213975694,0.0010000000000000007,0.9990776909722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2150,23950,23950,24000,24100,300,,,,,,,,,,,0.1357421875,0.13818359375,,,,,,,,,,,0.99951171875,0.0012278890515062812,0.998291015625,0.006747438723323285,0.011010276153683662,0.03737251088023186,3.0,3.0,0.001,1.0,0.5,30000,0.99609375,0.0028782666195183992
,,,,0.860161215572034,0.024240267478813554,,,,,,,,,,,0.140625,0.14990234375,,,,,,,,,,,1.0,0.00018208057144875056,0.169677734375,2.4107214361429214,0.042284660041332245,0.10385183244943619,3.0,0.0,5.707931487087708e-06,1.0,0.5,0.58203125,1.1722891330718994,29499,,,,,,,,,,,0.1474609375,0.1357421875,,,,,,,,,,,1.0,1.535195915991494e-05,0.0,29.064861536026,0.027859855443239212,0.04726255685091019,0.0,2.0,0.0004628064124873411,1.0,0.5,16000,0.5234375,14.014046669006348,late_gate_post_seed3,cosine_pre_horizon,5e-06,29499,16000,16000,0.0004628064124873411,0.0004628064124873411,5.707931487087708e-06,5e-06,5.707931487087708e-06,1.7687683232546238e-05,29500,0.001,13500,,,warmup_cosine,3,0,30000,29499,591,runs/behavioral_replication_v0_9/s3/s1_late_original/late_gate_post_seed3,,,,,0.13944981461864406,0.14272709216101695,,,,,0.999611030190678,0.1669673596398305,1.7687683232546238e-05,0.578853283898305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2150,,,,,300,,,,,,,,,,,0.140625,0.14990234375,,,,,,,,,,,1.0,0.00018208057144875056,0.169677734375,2.4107214361429214,0.042284660041332245,0.10385183244943619,3.0,0.0,5.707931487087708e-06,1.0,0.5,29499,0.58203125,1.1722891330718994
,,,,0.8606703016493056,0.028245713975694448,,,,,,,,,,,0.14501953125,0.15966796875,,,,,,,,,,,0.99951171875,0.0017997020613620407,0.17529296875,2.1097301989793777,0.03585583344101906,0.10717745870351791,1.0,0.0,5.000001948077038e-06,1.0,0.5,0.58984375,1.0387306213378906,35999,,,,,,,,,,,0.14111328125,0.1376953125,,,,,,,,,,,1.0,8.866417772424029e-06,0.0,26.50150752067566,0.02597072720527649,0.043622247874736786,1.0,2.0,0.0006009064556902949,1.0,0.5,16000,0.5234375,13.021912574768066,late_gate_post_seed3,cosine_full_horizon,5e-06,35999,16000,16000,0.0006009064556902949,0.0006009064556902949,5.000001948077038e-06,5e-06,5.000001948077038e-06,1.320003705578538e-05,36000,0.001,20000,,,warmup_cosine,3,0,36000,35999,721,runs/behavioral_replication_v0_9/s3/s1_longcos_late/late_gate_post_seed3,,,,,0.1390448676215278,0.14283582899305555,,,,,0.9997151692708334,0.17108154296875,1.320003705578538e-05,0.58447265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2200,,,,,300,,,,,,,,,,,0.14501953125,0.15966796875,,,,,,,,,,,0.99951171875,0.0017997020613620407,0.17529296875,2.1097301989793777,0.03585583344101906,0.10717745870351791,1.0,0.0,5.000001948077038e-06,1.0,0.5,35999,0.58984375,1.0387306213378906
,,,,0.8603549533420138,0.025797526041666657,,,,,,,,,,,0.14013671875,0.13916015625,,,,,,,,,,,0.99853515625,0.0032966645867418265,0.159912109375,2.404655769467354,0.041318003088235855,0.10007897764444351,3.0,0.0,5e-06,1.0,0.5,0.61328125,1.0708260536193848,35999,,,,,,,,,,,0.1474609375,0.1357421875,,,,,,,,,,,1.0,1.535195915991494e-05,0.0,29.064861536026,0.027859855443239212,0.04726255685091019,0.0,2.0,0.0004628064124873411,1.0,0.5,16000,0.5234375,14.014046669006348,late_gate_post_seed3,cosine_final_lr_plateau_extension,5e-06,35999,16000,16000,0.0004628064124873411,0.0004628064124873411,5e-06,5e-06,5e-06,5.000000000000009e-06,36000,0.001,20000,,,warmup_cosine,3,6000,30000,30000,721,runs/behavioral_replication_v0_9/s3/s1_plateau_late/late_gate_post_seed3,,,,,0.1392550998263889,0.14277479383680555,,,,,0.9996100531684028,0.1685723198784722,5.000000000000009e-06,0.5832790798611112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2150,,,,,300,,,,,,,,,,,0.12939453125,0.15087890625,,,,,,,,,,,0.999267578125,0.0013820564605566688,0.16943359375,2.4030271619558334,0.041516903787851334,0.1008753702044487,3.0,0.0,5e-06,1.0,0.5,30000,0.57421875,1.2162775993347168
,,,,0.8619384765625,0.8642103407118056,,,,,,,,,,,0.1396484375,0.138671875,,,,,,,,,,,1.0,6.039205231900269e-05,0.99951171875,0.006608424109799671,0.031255707144737244,0.08142336457967758,2.0,2.0,0.001,1.0,0.5,0.99609375,0.02416221797466278,35999,,,,,,,,,,,0.1435546875,0.134765625,,,,,,,,,,,0.999755859375,0.0021076728261846256,0.0,23.93478775024414,0.024510899558663368,0.04283273592591286,3.0,2.0,0.001,1.0,0.5,16000,0.5234375,11.948149681091309,late_gate_post_seed3,constant_high_lr,5e-06,35999,16000,16000,0.001,0.001,0.001,0.001,0.001,0.0010000000000000007,36000,0.001,20000,,,warmup_constant,3,6000,30000,30000,721,runs/behavioral_replication_v0_9/s3/s2_constant_late/late_gate_post_seed3,,,,,0.1377902560763889,0.13462320963541666,,,,,0.9997287326388888,0.9988335503472222,0.0010000000000000007,0.9990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2050,23050,23100,23150,23350,300,,,,,,,,,,,0.13330078125,0.140625,,,,,,,,,,,1.0,9.27517198761052e-05,1.0,0.0002362838611134066,0.03455733507871628,0.0839536264538765,1.0,2.0,0.001,1.0,0.5,30000,1.0,7.33087508706376e-05
0.8111096398305084,0.0,0.8601281117584746,0.0,0.8599377648305084,0.0,0.123046875,0.1328125,0.946533203125,1.0275028012692928,0.00341796875,46.7798011302948,0.019316842779517174,0.04509776830673218,1.0,2.0,0.14111328125,0.1513671875,0.134765625,0.13623046875,1.0,2.9453072647456224e-08,0.0,20.436506986618042,0.01153104193508625,0.03341859579086304,0.0,3.0,1.0,2.9453072647456224e-08,0.0,20.42375385761261,0.011516773141920567,0.03334503993391991,0.0,3.0,5.707931487087708e-06,1.0,0.0,1.0,3.306194784613581e-08,29499,0.146484375,0.12744140625,1.0,8.28294872690094e-08,0.0,20.934420466423035,0.02002621814608574,0.04189052805304527,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.552119433879852,0.0,8.539182126522064,0.019814955070614815,0.04715345799922943,3.0,2.0,0.0,8.557662904262543,0.0,8.546277105808258,0.0194984320551157,0.04553966224193573,3.0,2.0,0.0004628064124873411,1.0,0.0,16000,0.0,10.077966690063477,fresh_singlehop_late_seed4,cosine_pre_horizon,5e-06,29499,16000,16000,0.0004628064124873411,0.0004628064124873411,5.707931487087708e-06,5e-06,5.707931487087708e-06,1.7687683232546238e-05,29500,0.001,13500,,,warmup_cosine,4,0,30000,29499,591,runs/behavioral_replication_v0_9/s4/fresh_hop1_s1/fresh_singlehop_late_seed4,0.1346249337923729,0.13222490730932204,0.9457345736228814,0.005838685116525424,0.14006223516949154,0.1408650026483051,0.1398718882415254,0.13904429290254236,1.0,0.0,1.0,0.0,1.7687683232546238e-05,1.0,,,,,,,1250,1250,,,,,300,,,,,,,,,,,,,16300,16300,,,,,300,1250,1250,,,,,300,0.123046875,0.1328125,0.946533203125,1.0275028012692928,0.00341796875,46.7798011302948,0.019316842779517174,0.04509776830673218,1.0,2.0,0.14111328125,0.1513671875,0.134765625,0.13623046875,1.0,2.9453072647456224e-08,0.0,20.436506986618042,0.01153104193508625,0.03341859579086304,0.0,3.0,1.0,2.9453072647456224e-08,0.0,20.42375385761261,0.011516773141920567,0.03334503993391991,0.0,3.0,5.707931487087708e-06,1.0,0.0,29499,1.0,3.306194784613581e-08
